id,name,subject,salary
5074,Dennis Drake,Physics,75975.83
5075,Robin Young,Chemistry,42486.37
5076,Melissa Carter,Geography,48072.69
5077,Marilyn Garcia,Physics,52882.34
5078,Ronald Parks,Physics,37310.79
5079,Shannon Hunt,History,69376.11
5080,Jason Solomon,Biology,36512.86
5081,Mark Dawson,Computer,40206.97
5082,Noah Robbins II,Computer,73129.88
5083,Robin Robinson,Chemistry,54714.78
5084,Christopher Walker,Geography,67981.06
5085,Barbara Ramirez,English,50403.22
5086,William Nolan,Math,48876.27
5087,Michael Yang,English,64443.51
5088,Steven Mitchell,History,42072.58
5089,Mallory Randolph,Chemistry,76377.99
5090,Amy Campbell,Physics,33176.43
5091,Noah Spencer,Physics,41728.92
5092,Juan Brown,Computer,46847.29
5093,Cindy Scott,Science,56812.24
5094,Lauren Escobar,Biology,73057.74
5095,Joseph Crane,History,53424.54
5096,Jennifer Elliott,Computer,54569.8
5097,Jonathan Jimenez,Biology,41091.14
5098,Paula Martinez,History,60702.61
5099,Lauren Jordan,Physics,72660.18
5100,Michael Figueroa,Biology,56406.19
5101,Maria Ford,Science,48519.3
5102,Christopher Martin,Physics,33557.11
5103,Gwendolyn Miles,English,62417.93
5104,Donna Johnson,Geography,78210.01
5105,Eric Clark,History,61165.11
5106,Katherine Vasquez,Physics,64026.45
5107,Gregory Palmer,Geography,50231.54
5108,Mallory Gardner,Physics,74158.29
5109,William Hurst,Geography,74973.56
5110,Micheal Johnson,Computer,52220.0
5111,Taylor Oconnell,Science,42460.39
5112,Chad Guerra,Physics,63034.25
5113,John Wu,Computer,59741.69
5114,Daniel Williams,Science,33425.84
5115,Diana Rich,Computer,77005.42
5116,Angelica Walker,Physics,74717.06
5117,Lawrence Key,English,49946.26
5118,Benjamin Taylor MD,Geography,32745.36
5119,Jennifer Clark MD,Math,39502.63
5120,Alexander Floyd,Computer,64376.09
5121,Michael Soto,History,74758.54
5122,Debra Henry,Chemistry,59439.99
5123,Beverly Diaz,Chemistry,74676.44
5124,Joshua Harris,Biology,63404.64
5125,Kelsey Smith,Geography,44767.06
5126,Michael Mitchell,Math,47540.49
5127,Christina Gordon,Chemistry,78844.3
5128,Andrew Jones,Biology,46025.6
5129,Sonya Roberts,Biology,56572.0
5130,Gregory Dixon,Math,44126.66
5131,Susan Steele,Math,71973.58
5132,Brandi Baker,Chemistry,42049.82
5133,Kevin Lutz,Math,77181.34
5134,Richard Thompson,Computer,45416.87
5135,Kimberly Young,Chemistry,40515.96
5136,Dawn Beck,History,69088.37
5137,Michael Webster,English,49875.21
5138,Tanya Taylor,History,65897.54
5139,Mary Jackson,History,59530.39
5140,Heather Klein,Computer,55654.43
5141,Katie Holloway,History,70537.86
5142,Tim Grant,Physics,65589.37
5143,Leslie Roberts,Computer,36902.16
5144,Blake White,Physics,77017.48
5145,Brian Martin,Science,58158.42
5146,Justin Taylor,Chemistry,40940.74
5147,Jennifer Gonzalez,Computer,55094.82
5148,Diane Huang,English,59968.55
5149,Stacy Cohen,Math,73982.48
5150,Timothy Adams,Chemistry,52966.4
5151,Eric Hall,English,60014.16
5152,Michael Chang,Math,53084.93
5153,Christine Butler,Chemistry,52222.05
5154,Edgar Ruiz,English,59508.12
5155,Christine Davis,Science,70025.12
5156,Benjamin Hernandez,Computer,47394.93
5157,Taylor Collins,English,70177.15
5158,Andrew Diaz,Biology,34686.26
5159,Tina Mitchell,Chemistry,57544.81
5160,Clayton Sanchez,Physics,36776.65
5161,Mark Chapman,Computer,47935.91
5162,Billy Grant,Science,79273.44
5163,Christopher Smith,Geography,73167.22
5164,Bryan Nelson,English,35398.37
5165,Timothy Maldonado,Chemistry,76264.64
5166,Christina Harrison,Geography,59100.2
5167,Christopher Brooks,Science,74200.52
5168,Jasmine Torres,English,64725.78
5169,Ashley Wilson,Physics,68482.95
5170,Jennifer Randall,Science,58924.98
5171,Gabriela Jones,Biology,66800.09
5172,Donna Barron,Computer,55356.14
5173,Sierra Nixon,Chemistry,71657.97
5174,Debra Davis,Chemistry,79969.94
5175,Katherine Gonzalez,Geography,75640.6
5176,Nicole Mcpherson,Chemistry,70852.38
5177,Tina Clark,English,32319.78
5178,Mary Copeland,English,41435.81
5179,Jacqueline Estrada,Science,53141.35
5180,Heather Walton,Geography,79924.43
5181,Judy Benjamin,Biology,59386.72
5182,Anna Rodriguez,Geography,44443.33
5183,Brooke Ball,Geography,71877.34
5184,Colleen Lawson,Science,50582.53
5185,Bruce Escobar,Geography,42296.65
5186,Jeffrey Hoffman,English,43702.24
5187,Mr. Christopher Holmes,English,60243.56
5188,Crystal Sparks,Math,63646.34
5189,Victoria Simmons,Biology,67348.67
5190,Joseph Perez,History,59091.9
5191,Anna Frazier,English,60020.63
5192,Dr. Kyle Zavala,Chemistry,58683.0
5193,Dustin Meza,Physics,43640.69
5194,Morgan Peterson,History,32404.44
5195,Lisa Lopez,Math,37144.77
5196,Sarah Lopez,Biology,39964.17
5197,Daniel Higgins,English,42769.3
5198,Matthew James,English,59900.56
5199,Collin Dixon,English,40364.67
5200,Alexander Calhoun,Computer,42734.59
5201,Jennifer Patterson,Science,36191.01
5202,Beth Parker,Physics,44499.06
5203,Elizabeth Simmons,English,46384.53
5204,Kevin Hernandez,Chemistry,56033.83
5205,Christine Garrett,Biology,39408.53
5206,Richard Edwards,Biology,74006.81
5207,Nicholas Roy,English,74991.49
5208,Becky Fernandez,Physics,74989.9
5209,Jessica Young,Math,66726.17
5210,Megan Thomas,Physics,38220.26
5211,Sabrina Martinez,Science,36482.67
5212,Shirley Singleton,Computer,54731.7
5213,Megan Williams,History,41955.61
5214,Javier Harmon,Science,55762.19
5215,Timothy Hernandez,Science,70071.25
5216,Karen Gallagher,Science,42992.99
5217,Tiffany Trujillo,Geography,44437.61
5218,Donna Smith,Physics,34106.72
5219,Justin Guerrero,Chemistry,72060.82
5220,Samantha Burke,History,78549.96
5221,William Clark,Chemistry,32237.72
5222,Jeremy Woods,Computer,43805.72
5223,Sarah Martinez,Science,59423.79
5224,Christina Walker,History,75847.17
5225,Todd Parrish,Chemistry,48344.24
5226,Laura Porter,Chemistry,60070.52
5227,John Hamilton,English,76924.07
5228,Jenny Taylor,Chemistry,51282.8
5229,Mr. Daniel Robinson,Geography,50488.66
5230,Catherine Day,Science,53957.69
5231,Mary Frazier,History,70909.0
5232,John Williams,Geography,65905.47
5233,Eddie Duncan,History,55260.82
5234,Shane Carpenter,Computer,39296.78
5235,Mr. Joshua Martinez DDS,Physics,55202.57
5236,Jessica Clayton,Biology,55069.19
5237,Grace Greer,English,35734.91
5238,Shelley Campos,History,42296.55
5239,Christopher Conrad,Math,56850.7
5240,John Gonzalez,Math,76842.23
5241,Yvonne Rangel,Physics,33959.76
5242,Wendy Bailey,Computer,35837.06
5243,Brian Mason,Science,64186.39
5244,Rachel Swanson,Chemistry,36865.65
5245,Theresa Scott,Science,49526.78
5246,Stephen Lloyd,History,50501.19
5247,Danny Jackson,Chemistry,63888.92
5248,Christopher Francis,Science,70001.25
5249,Kevin Boone,Computer,38872.79
5250,Theresa Barrera,Science,52651.19
5251,Brian Williams,Science,56962.26
5252,Taylor Jackson,English,53123.9
5253,Nathan Reed,History,36582.38
5254,Alex Miller,Science,48673.87
5255,Timothy Torres,Chemistry,44286.06
5256,John Hoover,Geography,68977.57
5257,Grace Lee,Physics,32247.64
5258,Carrie Anderson,Chemistry,51342.62
5259,Carolyn Jackson,Math,43984.08
5260,Kari Lynch,Physics,38326.36
5261,Sandra Sutton,Biology,78187.18
5262,James Fowler,Science,57230.26
5263,Deborah Daugherty,Computer,76370.58
5264,Robert Jackson,Physics,55694.13
5265,Brian Allen,Physics,76563.11
5266,Jennifer Wright,Geography,59446.93
5267,Terri Jones,Biology,76894.99
5268,Brian Knight,Geography,58926.22
5269,James Montgomery,English,66558.17
5270,Nathan Peters,History,65645.77
5271,Sean Hayes,Math,67092.53
5272,Trevor Mcguire,Math,72608.12
5273,Jennifer Andrews,Chemistry,43369.74
5274,Kathleen Brown,Math,47934.48
5275,Christina Diaz,Geography,39911.59
5276,Lacey Hall,Computer,78421.16
5277,Jeffrey Alvarado,Chemistry,65012.31
5278,Robert Silva,Physics,54144.65
5279,Sheri Williams,Biology,79312.77
5280,Anthony Bentley,Biology,32177.15
5281,Amanda Mercado,Science,51633.82
5282,John Norman,Math,38934.45
5283,Ralph Gibson,English,77682.64
5284,Joseph Marshall,Biology,33004.4
5285,Melvin Molina,Math,56637.75
5286,Joseph Wilson,Physics,70705.23
5287,Kevin Horton,Computer,61414.42
5288,James Carr,Physics,46582.9
5289,Jonathan Phillips,Physics,43687.82
5290,Amy Chavez,Geography,30360.87
5291,Casey Garrett,English,56160.69
5292,William Andrews,Math,40764.36
5293,Rebecca Rodriguez,Physics,74404.55
5294,Michael Mcintyre,Chemistry,47605.33
5295,Jonathan Carter,Math,45753.07
5296,Patrick Lopez,English,45283.43
5297,Victoria Fisher,Geography,45910.08
5298,Miss Denise Robinson DDS,History,62416.27
5299,Mr. Samuel Kim PhD,Chemistry,30698.69
5300,Tamara Rich,Chemistry,44657.45
5301,Martin Davidson,English,38105.28
5302,Gregory Sandoval,Biology,71652.4
5303,Michelle Small,Math,72554.53
5304,Jennifer White,Math,51528.02
5305,Ricky Wise,Biology,45832.48
5306,Denise Roberson,Computer,42166.92
5307,Laura Moore,Physics,74392.27
5308,Linda Dougherty,Geography,31942.07
5309,Paul Williams,Chemistry,65302.81
5310,Charles Mcintosh,Computer,41902.98
5311,Anthony Walker,Computer,60239.09
5312,Yvonne Herrera,History,58770.2
5313,Dylan Wolf,Geography,41555.28
5314,James Mcdaniel,English,71377.72
5315,Toni Bradley,English,38477.62
5316,Jason Benson,Chemistry,47108.33
5317,Kathleen Mckenzie,History,31910.3
5318,Deborah Brown,Science,61797.03
5319,Kari Wood,Computer,74899.79
5320,Cameron Walker,Science,67316.69
5321,Meagan Shepherd,Math,78514.18
5322,Brandi Vang,Computer,76285.7
5323,Joseph Gilmore,Geography,48259.97
5324,Michael George,Science,30547.02
5325,Lisa Smith,Math,50680.64
5326,Miss Elizabeth Barber DVM,Geography,73940.49
5327,Dustin Brennan,English,49684.81
5328,Stephanie Gillespie,Geography,58584.61
5329,Calvin Newman,English,69787.22
5330,Martin Gould,Physics,36216.22
5331,Maria Sutton,Geography,52383.82
5332,Angel Brown,Geography,72605.92
5333,Jeffery Thomas,English,79587.92
5334,Kimberly Morales,Geography,36349.31
5335,Angela Walker,History,66690.0
5336,Allison Reed,Biology,36036.14
5337,Adam Flores,History,50586.92
5338,Elizabeth Horton,Biology,52832.72
5339,William Smith,English,78704.56
5340,William Stone,Geography,50159.41
5341,Cindy Smith,Biology,44879.44
5342,Danielle Burch,Math,65867.01
5343,Heather Johnson,Computer,47593.97
5344,Todd Dudley,Biology,42416.34
5345,Laura Thompson,Chemistry,41602.04
5346,Michele Austin,Math,77922.03
5347,Brandon Todd,Chemistry,34671.31
5348,Sharon Herrera,Math,47676.29
5349,John Fernandez,Computer,73578.51
5350,Kayla Bryant,Math,59284.99
5351,Amanda Martin,Math,47434.3
5352,Mr. Mark Zimmerman DVM,Science,65248.87
5353,Nicholas Aguirre,Math,52320.58
5354,Gina Kirby,Science,59314.89
5355,Martha Adams,Biology,59072.22
5356,Linda King,Biology,44979.14
5357,Tyler Henderson,History,67732.85
5358,Joshua Stewart,Chemistry,53748.21
5359,Rodney Green,Chemistry,40086.85
5360,Natalie Kirk,Science,43496.88
5361,James Johnson,Geography,53920.6
5362,Evan Hamilton,Physics,65101.55
5363,Margaret Montgomery,English,41581.3
5364,Jamie Ryan,Math,50368.94
5365,Jessica Ellis,Math,38570.71
5366,Robert Lloyd,History,79754.4
5367,Brittney Morris PhD,Geography,58704.04
5368,Kristina Bass,Chemistry,58214.12
5369,April Pope,Chemistry,77404.47
5370,Mark Randall,Chemistry,54926.11
5371,Terri Stewart,Physics,64603.05
5372,Michael Green,Chemistry,37182.6
5373,Eddie Alvarez,Physics,40938.46
5374,Mr. Ronald Mccarty,Physics,40737.05
5375,James Hall,History,62084.68
5376,Michael Ruiz,Physics,42980.53
5377,Eric Peck,English,37630.85
5378,David West,Biology,32456.14
5379,Kevin Young,Math,48214.59
5380,Jordan Lewis,Computer,31270.65
5381,Travis Mitchell,Chemistry,60312.63
5382,Thomas Wang,Computer,65471.49
5383,Jose Price,Chemistry,42683.44
5384,Dennis Evans,Geography,46368.93
5385,Breanna Reynolds,Geography,38183.21
5386,Alexis Christian,English,78275.5
5387,Mary Zhang,Chemistry,65882.33
5388,Carrie Morgan,Geography,56021.36
5389,Aaron Johnson,Math,48756.97
5390,Thomas Foster,Computer,32436.14
5391,Kathleen Freeman,History,48252.87
5392,Jeanne Cruz,Science,73945.1
5393,Edgar Torres,Science,46317.29
5394,Amy Acosta,Physics,58221.76
5395,Dustin Thomas,Biology,77658.24
5396,Hannah Smith,Geography,77926.49
5397,Jesse Taylor,History,65477.45
5398,Angela Hunt,Computer,48089.67
5399,Jacqueline Davis,English,51870.9
5400,Adrian Ray,Science,58754.38
5401,Denise Gonzalez,Math,54131.89
5402,Richard Smith,History,35548.7
5403,Rita Fowler,Physics,73098.21
5404,Roberta Moore,Computer,54082.65
5405,Edwin Carter,Math,33491.48
5406,Natasha Brewer,History,33343.84
5407,Cole Carroll,History,36855.99
5408,Joanna Moss,Chemistry,73472.62
5409,Laura Elliott,Chemistry,70286.46
5410,Alexander Best,History,57635.1
5411,Dennis Hart,Math,76072.34
5412,Stephen Brown,Biology,62547.79
5413,Elizabeth Jimenez,Chemistry,30602.99
5414,Kelly Johnson,Geography,61974.83
5415,Jennifer Dean,Physics,37989.36
5416,Jeanette Jackson,Biology,31230.35
5417,Felicia Cain,Science,45176.9
5418,Elizabeth Page,History,70244.0
5419,Mr. John Bentley,Physics,56147.62
5420,Nancy Rodriguez,Chemistry,54018.68
5421,Isaac Stark,Geography,58433.55
5422,Peter Martinez,Geography,56849.55
5423,Vanessa Flores,Physics,61074.5
5424,Victoria Burnett,Computer,75487.16
5425,Carrie Wang,Biology,48796.81
5426,Laurie Rogers,Physics,45363.02
5427,Lucas Garcia,Physics,63015.51
5428,David Palmer,Physics,49104.88
5429,Edward Wells,Geography,79988.85
5430,Latasha Wood,Geography,38399.96
5431,Luis Carlson,Computer,67489.91
5432,Jon Duncan,English,76975.69
5433,Thomas Jenkins,History,38418.75
5434,Terry Tapia,Computer,42855.74
5435,Richard White,Geography,32742.17
5436,Robert Thompson,Computer,46448.71
5437,Nancy Diaz,Math,56907.81
5438,Kelly Irwin,Biology,37980.43
5439,Scott Coleman,Math,42401.52
5440,Amanda Smith,Biology,31892.59
5441,Cathy Mendez,Physics,50732.73
5442,Candace Jones MD,Geography,58001.04
5443,Chad Zimmerman,History,66140.66
5444,Christine Anderson,Science,70852.73
5445,Patricia Lopez,Computer,48477.32
5446,Deborah Roberts,Computer,71602.69
5447,Timothy Wu,Physics,37676.67
5448,Ethan Ray,Science,78684.16
5449,Julie Johnson,English,65719.91
5450,Adam Barnett,Science,48808.77
5451,Mary Hernandez,Geography,64590.61
5452,Teresa Leonard,Science,56040.78
5453,Kyle Gomez,Physics,62412.61
5454,Matthew Gilbert,Computer,78981.8
5455,Thomas Garcia,Science,60963.66
5456,Jeffrey Wilkinson,Biology,31588.14
5457,Stephanie Sheppard,English,43571.58
5458,Makayla Suarez,Computer,30307.01
5459,Casey White,Physics,74909.25
5460,Sarah Hardin,Science,53364.02
5461,Rachel Hubbard,History,68341.86
5462,Clayton Calderon,Science,40120.62
5463,Philip Hamilton,English,34468.59
5464,John Zuniga,Chemistry,47057.2
5465,Cynthia Ward,Math,76214.39
5466,Daniel Miranda,Chemistry,53698.56
5467,Mary Torres,Computer,42847.13
5468,Kelly Cantrell,Chemistry,71147.57
5469,Kyle Francis,Math,39051.1
5470,Carlos Ingram,Science,62564.16
5471,Rebecca Torres,English,33241.34
5472,Tricia Shields,Computer,47362.06
5473,Donna Clark,Computer,51601.34
5474,Johnny Snow,Biology,38426.39
5475,Crystal Freeman,History,69445.88
5476,Harold Garrett,Chemistry,47038.37
5477,Jason Casey,Math,40729.1
5478,Christine Nelson,History,33436.76
5479,Sara Garcia,Science,62787.15
5480,Stacey Long,Science,66668.25
5481,Christopher Price,Computer,50056.3
5482,Tara Smith,Math,70084.92
5483,Cheyenne Frost,History,53972.32
5484,Ronnie Murray,Math,42875.49
5485,Joshua Rowland,Physics,57320.24
5486,James Williams,Computer,78800.41
5487,Christopher Matthews,Chemistry,31105.05
5488,Maria Pruitt,Computer,69316.13
5489,David Ramirez,English,31483.34
5490,Paul Humphrey,Chemistry,43090.24
5491,Lindsay Myers,English,71438.42
5492,Dave Clark,Science,52724.03
5493,Whitney Brown,History,33438.4
5494,Frank Watts,Physics,35336.1
5495,Brandy Brown,Chemistry,78705.02
5496,Richard Lee,Geography,57014.32
5497,Amy Hudson,English,67342.28
5498,Melissa Perez,Physics,61450.11
5499,Lisa Thompson,Biology,69932.86
5500,Nicholas Huff,English,51232.01
5501,Katelyn Scott,English,39153.43
5502,Jasmine Nelson,Science,38067.01
5503,Charles Black,Science,72357.5
5504,Lisa Flores,Chemistry,34264.31
5505,Joseph Castaneda,Biology,61554.99
5506,Kimberly Hill,Computer,60439.44
5507,Tara Scott,Science,43277.65
5508,Justin Keith,Math,33277.88
5509,Sandra Nielsen,Geography,41738.71
5510,Kimberly Lee,Science,67852.98
5511,Rebecca Cooper,Biology,60003.82
5512,Shawn Knight,Biology,52732.31
5513,Seth Alvarez,Computer,58009.13
5514,Michelle Jones,Geography,58328.77
5515,Theresa Walton,History,79853.48
5516,Kimberly Thomas,Chemistry,61678.03
5517,April Hunt,English,67203.96
5518,Phillip Smith,Math,61078.36
5519,Christine Adams,Chemistry,75365.58
5520,Anna Simon,Computer,79817.15
5521,Courtney Atkins,English,58427.34
5522,Alec Moreno,Biology,47834.49
5523,Susan Wood,Science,46854.84
5524,John Johnson,History,56878.74
5525,Rodney Nolan,Science,62029.16
5526,Amanda Johnson,Geography,77630.65
5527,Michelle Summers,English,31828.58
5528,John Joseph,English,53208.74
5529,Susan Wheeler,Computer,66120.87
5530,Stacey Bullock,Math,47549.47
5531,William Perez,Math,59410.49
5532,Dr. Denise Hall,Computer,76359.82
5533,Raymond Johnston,Science,53684.68
5534,Rhonda Watkins,Chemistry,53400.11
5535,Diane Barker,Math,39025.28
5536,Dominique Torres,Biology,79282.06
5537,Shane Brown,English,77276.56
5538,Jason Beasley,English,67041.78
5539,Raymond Miller,Science,69389.59
5540,Kim Turner,Physics,68605.69
5541,Marvin Glenn,Geography,58973.69
5542,Mark Bryan,English,69394.64
5543,Janet Lester,Chemistry,57434.92
5544,Herbert Edwards,Computer,72583.72
5545,Timothy Harris,Science,39230.51
5546,Jeffrey Li,History,67386.79
5547,Amanda Sanchez,Math,60592.81
5548,Darlene Hess,History,40497.46
5549,Aaron Ortiz,Math,51501.52
5550,Travis Obrien,English,65605.0
5551,Alicia Green,Biology,49372.3
5552,Mary Carroll,History,72713.62
5553,Johnny Wood,History,65227.45
5554,Tiffany Hansen,Chemistry,41155.52
5555,Caroline Hood,Geography,44987.04
5556,Brian Harvey,Geography,36458.43
5557,Aaron Smith,Science,76821.36
5558,Mark Martin,Chemistry,63016.74
5559,Omar Kelley,Chemistry,69304.12
5560,Andrew Mack,Math,49009.58
5561,Linda Barnett,Math,31360.48
5562,Ashley Love,Science,38818.03
5563,Terri Malone,English,50210.5
5564,Sierra Russell,Math,60645.37
5565,Francisco Moore,Math,40675.49
5566,Robert Castillo,Biology,49412.81
5567,Rhonda Rodriguez,Chemistry,73464.8
5568,Kayla Ellis,Physics,70796.71
5569,Rachel Keith,Physics,73364.63
5570,James Griffin,History,60597.0
5571,Thomas Barron,Geography,55828.41
5572,Dr. Sandra Smith,Math,49375.5
5573,Sarah Alexander,Biology,46949.11
5574,Kelsey Velasquez,Chemistry,74383.7
5575,Kayla Barnes,English,59279.62
5576,Aaron Gonzalez,English,34327.59
5577,Danielle Pratt,Geography,34748.76
5578,Patricia Callahan,Science,52268.04
5579,Pamela Lane,Chemistry,78021.09
5580,Bobby Hill,English,73392.17
5581,Drew Garcia,Geography,36609.19
5582,Ashley Bryant,History,43077.87
5583,Kelly Carter,History,66812.47
5584,Katherine Deleon,Physics,77179.84
5585,Richard Johnson,Science,49560.04
5586,Alexandra Chavez,Biology,45000.98
5587,Spencer Francis,Chemistry,59725.33
5588,Jason Macias,Physics,66375.38
5589,Terry Hodge,Geography,48516.99
5590,Connie Brown,Physics,69980.77
5591,Dr. Dustin Bond,English,76335.72
5592,Wesley Jimenez,Chemistry,70725.18
5593,Diana Petty,Math,57749.82
5594,Steven Martin,Science,33406.1
5595,Eileen Conway,Geography,55013.34
5596,Tammy Miller,Biology,55495.19
5597,Traci Rogers,Math,31884.27
5598,Elizabeth Willis,Physics,39888.45
5599,Dr. Christopher Miller,Biology,36926.56
5600,Larry Ramos,Math,37059.58
5601,Ann Bryant,History,71950.51
5602,Alexander Kelly,Computer,78603.1
5603,Taylor Barrett,History,42822.48
5604,Virginia Rivera,Math,75534.57
5605,Stephen Arroyo,Computer,76028.04
5606,Jason Bryant,Geography,32263.24
5607,Scott Smith,Math,48432.16
5608,Rodney Smith,Biology,70950.25
5609,Sarah Poole,Science,47320.59
5610,Brittany Stewart,Science,64237.37
5611,Megan Powell,Biology,32281.96
5612,Ruth Swanson,Computer,63048.68
5613,Jill Burns,Chemistry,48084.25
5614,Amanda Adams,Computer,79478.14
5615,Paul Allison,Physics,30561.94
5616,Johnathan Miller,Geography,44662.09
5617,Elizabeth Lee MD,Chemistry,52611.54
5618,Brandi Mendez,Geography,48046.89
5619,Craig Johnson,Math,33165.91
5620,Jennifer Jensen MD,History,71740.24
5621,Jean Lee,Geography,48054.3
5622,Nicholas Grimes,Chemistry,49650.37
5623,William Williams,English,43024.47
5624,William Price,Geography,72366.92
5625,Douglas Hale,Physics,71578.1
5626,Rebecca Knapp,Biology,55097.28
5627,Crystal Mitchell,English,62595.67
5628,Jared Bell,Chemistry,63440.6
5629,Mrs. Melissa Jackson DVM,Computer,71649.45
5630,Justin Thompson,Computer,38361.94
5631,Alison Brown,Chemistry,76760.09
5632,Melissa Wilson,Math,70963.22
5633,Morgan Hunt,Chemistry,70968.7
5634,James Jones,Geography,77437.13
5635,Bradley Chen,Biology,76789.98
5636,Robert Cohen,Physics,68561.82
5637,Lisa Crane,Science,37744.05
5638,Joseph Raymond,History,30825.97
5639,Mark Harrison,Chemistry,62301.2
5640,Ebony Goodwin,Chemistry,52300.0
5641,Brian Chang,Physics,67776.4
5642,Tammy Robinson,Geography,77564.01
5643,Christopher Jones,Science,70579.96
5644,Courtney Smith,Math,60709.93
5645,Rita Webb,English,36581.35
5646,Susan Barton,Geography,41123.62
5647,Mark Suarez,English,74919.47
5648,Jennifer Williams,History,66565.32
5649,Colin Mays,Chemistry,36099.25
5650,Casey Henderson,Physics,53812.86
5651,Travis Hendrix,Chemistry,57428.28
5652,Sue Higgins,History,36311.82
5653,Ann Romero,English,78314.13
5654,Margaret Nunez,Physics,72124.56
5655,Brooke Archer,Geography,73993.27
5656,Alfred Harris,Math,75127.36
5657,Anthony Johnson,Physics,71136.03
5658,Amanda Delacruz,English,68220.89
5659,Charles Burnett,Physics,71441.55
5660,Lisa Hansen,History,38708.81
5661,Emily Mendez,Math,54087.47
5662,Andrea Singh,Computer,33099.57
5663,Morgan Cook,Science,78281.84
5664,Walter Floyd,Biology,33503.83
5665,Dr. Michael Rice,English,48283.83
5666,Melissa Finley,History,39454.16
5667,Maria Turner,History,53534.58
5668,Daniel Jones,Physics,52717.21
5669,Kristin Aguilar,Biology,44784.12
5670,Tanya Morris,History,72135.04
5671,Timothy Morton,Physics,34666.12
5672,Ryan Lamb,Math,40210.83
5673,Douglas Bullock,Physics,78950.83
5674,Carl Cruz,English,54175.01
5675,William Tran,Math,39962.74
5676,Tracey Hardin,Physics,32312.37
5677,Charles Luna,Geography,38838.85
5678,Jack Turner,Physics,48032.92
5679,John Weber,Science,50896.96
5680,Sandra Barber,English,39204.34
5681,Gene Brown,Physics,48254.03
5682,Larry Garza,Computer,42789.77
5683,Ashley Hanson,Physics,50688.07
5684,Jill Jackson,Geography,64417.46
5685,Rachel Martinez,Physics,75281.34
5686,David Wilson,Chemistry,37951.59
5687,Brandon Leblanc,Physics,32292.77
5688,Denise Clark,Chemistry,66640.63
5689,Matthew Hernandez,Geography,74386.79
5690,Kristina Galvan,Biology,46631.28
5691,Amanda Jackson,Computer,73459.01
5692,Ryan Shepard,Computer,54930.85
5693,Daniel Wilkins,History,34244.87
5694,Logan Baker,Science,53042.41
5695,Laura Ruiz,Geography,75507.01
5696,Douglas Downs,Physics,78696.67
5697,Kristen Brooks,Geography,77762.67
5698,Eric Holloway,Computer,32997.97
